id,name,code,area,lat,lng
405,十吉193左2,M7707HB49,七股區,23.0802592,120.0548968
406,十吉194,M7707HB76,七股區,23.07999,120.0551915
407,十吉193左1,M7707HB78,七股區,23.0801706,120.0551902
408,十吉193左3,M7707HC0035,七股區,23.0803925,120.0545348
409,三股82右39左15,M7708DB17,七股區,23.0845681,120.0506698
410,三股82右39左14,M7708DB46,七股區,23.0844796,120.0509633
411,三股82右39左13,M7708DB75,七股區,23.084391,120.0512567
412,三股82右39左13 B1,M7708DB7986,七股區,23.0848068,120.0513318
413,三股82右39左13 B2,M7708DC8388,七股區,23.0851867,120.0514268
414,三股82右39左13 B4,M7708DD90,七股區,23.0857466,120.0514424
415,三股82右39左12,M7708EB14,七股區,23.0843031,120.0516477
416,三股82右39左11,M7708EB64,七股區,23.084306,120.0521357
417,三股82右39左13 B3,M7708EC08,七股區,23.0855666,120.0515412
418,三股82右39左10,M7708FB12,七股區,23.0841283,120.0526249
419,三股82右39左9,M7708FB61,七股區,23.084041,120.0531135
420,三股82右39左7,M7708GA5858,七股區,23.0838479,120.0540421
421,三股82右39左8,M7708GB10,七股區,23.0839536,120.0536022
422,三股82右31左12,M7708GE09,七股區,23.0874745,120.0534799
423,?,M7708GE0901,七股區,23.0874835,120.0534798
424,三股82右31左11-1,M7708GE39,七股區,23.0874762,120.0537727
425,三股82右31左11,M7708GE58,七股區,23.0873871,120.0539685
426,三股82右31左10,M7708GE97,七股區,23.0872992,120.0543595
427,三股82右39左6,M7708HA08,七股區,23.0837783,120.0544818
428,三股82右39左5,M7708HA56,七股區,23.0836006,120.054971
429,三股82右31左9,M7708HE36,七股區,23.0872112,120.0547506
430,三股82右31左8 A1,M7708HE60,七股區,23.0866712,120.0550472
431,三股82右31左8,M7708HE75,七股區,23.0871232,120.0551416
432,三股82右31左21右6 C2,M7709AA13,七股區,23.087801,120.047719
433,三股82右31左21右6 C1,M7709AA38,七股區,23.0882537,120.0479111
434,三股82右31左21右6,M7709AB40,七股區,23.0884348,120.0480074
435,三股82右31左21右5,M7709AB62,七股區,23.0886166,120.0482013
436,三股82右31左21右2,M7709BA8901,七股區,23.0883618,120.0493743
437,三股82右31左21右4,M7709BB01,七股區,23.0885287,120.0485923
438,三股82右31左21右3,M7709BB40,七股區,23.0884407,120.0489834
439,三股82右31左24右2 C2,M7709BC15,七股區,23.0897934,120.048681
440,三股82右31左24右2 C1,M7709BC63,七股區,23.0896157,120.0491703
441,三股82右31左21右1-1,M7709CA2719,七股區,23.0882559,120.0497753
442,?,M7709CA3697,七股區,23.0881486,120.0499517
443,三股82右31左21右1,M7709CA4704,七股區,23.0882118,120.049961
444,三股82右31左21,M7709CA58,七股區,23.0882666,120.0500582
445,三股82右31左22,M7709CB72,七股區,23.088629,120.0502509
446,三股82右31左23,M7709CB96,七股區,23.0889913,120.0504436
447,三股82右31左24右2,M7709CC12,七股區,23.0895284,120.0496589
448,三股82右31左24右1-1,M7709CC41,七股區,23.0894398,120.0499524
449,三股82右31左24右1,M7709CC71,七股區,23.0894416,120.0502452
